annualinc,collections,delinq,inq,openacc,dti,pubrec,lstatus,applytype_INDIVIDUAL,homeowner_MORTGAGE,homeowner_RENT,homeowner_OWN,term_36 months,vstatus_Not Verified,vstatus_Verified
32.0,0,0,0,7,35.75,0,On Time,1,1,0,0,0,0,0
70.0,0,0,1,9,12.19,0,On Time,1,0,1,0,1,1,0
143.0,0,0,1,13,12.47,1,On Time,1,1,0,0,1,0,0
96.0,0,0,2,19,28.46,0,On Time,1,1,0,0,1,0,0
20.0,0,0,0,7,20.59,0,On Time,1,0,1,0,1,0,0
104.34,0,0,0,9,23.19,0,On Time,1,1,0,0,0,0,0
65.0,0,0,1,17,13.37,1,On Time,1,0,1,0,1,0,1
100.0,0,0,0,12,30.31,0,On Time,1,1,0,0,1,0,1
15.0,0,0,2,8,13.81,0,On Time,1,0,1,0,1,0,1
43.0,0,0,0,21,38.57,1,On Time,1,0,1,0,1,0,1
76.0,0,0,2,10,7.97,1,On Time,1,0,1,0,0,0,1
120.0,0,0,0,8,9.2,0,On Time,1,1,0,0,0,0,0
185.0,0,0,1,12,10.7,0,On Time,1,1,0,0,1,1,0
41.0,0,0,0,10,8.47,0,On Time,1,0,1,0,1,1,0
148.0,0,0,0,15,13.48,0,On Time,1,1,0,0,1,0,1
95.0,0,2,0,32,18.29,0,On Time,1,1,0,0,0,1,0
72.0,0,0,1,10,16.9,0,On Time,1,1,0,0,1,0,0
96.0,0,0,4,13,13.43,1,On Time,1,1,0,0,1,0,0
35.0,0,0,0,5,12.69,0,On Time,1,1,0,0,0,0,1
32.0,0,0,0,8,22.47,0,On Time,1,0,1,0,1,1,0
30.0,0,0,0,9,25.16,1,On Time,1,0,1,0,1,1,0
103.5,0,0,1,16,25.8,0,On Time,1,1,0,0,0,0,0
63.4,0,0,0,8,15.84,0,On Time,1,0,1,0,1,1,0
55.0,0,0,0,6,16.07,0,On Time,1,0,1,0,1,0,1
132.0,0,0,4,17,28.39,0,On Time,1,1,0,0,1,0,0
30.0,0,0,0,16,24.24,0,Risky,1,1,0,0,1,0,1
52.0,0,0,0,4,19.04,0,On Time,1,1,0,0,1,1,0
143.0,0,0,0,6,3.08,0,On Time,1,1,0,0,1,1,0
94.0,0,0,1,15,18.6,0,On Time,1,1,0,0,1,0,0
72.755,0,0,1,7,11.48,0,On Time,1,1,0,0,1,1,0
38.0,0,0,2,20,16.74,0,On Time,1,1,0,0,1,1,0
35.0,0,0,0,4,20.47,0,On Time,1,0,1,0,1,0,0
85.0,0,0,0,7,11.55,0,On Time,1,0,1,0,1,0,1
100.0,0,2,3,13,15.96,0,On Time,1,1,0,0,1,0,0
70.0,0,0,0,9,6.02,0,On Time,1,0,1,0,1,1,0
72.0,0,1,1,16,22.26,0,On Time,1,0,1,0,1,1,0
63.0,0,0,0,8,13.16,0,On Time,1,1,0,0,1,1,0
68.0,0,0,0,7,29.8,0,On Time,1,0,1,0,0,0,0
88.166,0,0,0,5,16.31,2,On Time,1,1,0,0,1,1,0
100.0,0,0,0,15,13.32,0,On Time,1,1,0,0,1,0,0
60.0,0,0,1,6,5.08,0,On Time,1,0,1,0,1,0,0
12.0,0,1,0,12,18.7,1,On Time,1,0,0,1,1,1,0
51.0,0,0,0,7,6.25,0,On Time,1,0,1,0,0,0,1
92.0,0,1,0,14,23.06,0,On Time,1,1,0,0,1,0,0
42.996,0,0,0,3,8.04,0,On Time,1,0,1,0,1,0,1
21.6,0,0,5,3,3.89,0,On Time,1,0,0,1,1,1,0
200.0,0,0,0,10,11.72,0,On Time,1,0,1,0,0,0,0
96.0,1,1,2,10,19.54,1,On Time,1,1,0,0,0,1,0
89.0,0,1,0,13,10.71,1,On Time,1,1,0,0,1,0,1
60.0,0,0,0,13,11.7,0,On Time,1,0,1,0,1,0,0
33.0,0,0,0,11,26.04,0,On Time,1,0,1,0,1,0,0
22.814,0,0,1,5,36.19,0,On Time,1,0,1,0,1,0,0
