annualinc,applytype,collections,delinq,inq,openacc,dti,pubrec,homeowner,term,vstatus,lstatus
85.1,INDIVIDUAL,0,0,0,9,18.39,0,MORTGAGE,60 months,Not Verified,On Time
250.0,INDIVIDUAL,0,0,0,10,7.19,0,OWN,36 months,Source Verified,On Time
38.0,INDIVIDUAL,0,0,3,11,30.16,0,RENT,60 months,Verified,On Time
108.0,INDIVIDUAL,0,0,1,18,23.43,0,MORTGAGE,36 months,Source Verified,On Time
45.0,INDIVIDUAL,0,0,0,17,25.45,0,RENT,60 months,Not Verified,On Time
46.0,INDIVIDUAL,0,0,0,12,25.7,0,RENT,36 months,Source Verified,On Time
31.0,INDIVIDUAL,0,0,0,5,11.85,0,MORTGAGE,36 months,Source Verified,On Time
94.0,INDIVIDUAL,0,0,1,7,25.07,0,MORTGAGE,36 months,Not Verified,On Time
27.48,INDIVIDUAL,0,0,0,6,18.03,0,RENT,36 months,Verified,On Time
120.0,INDIVIDUAL,0,0,0,13,15.94,0,MORTGAGE,36 months,Not Verified,On Time
38.1264,INDIVIDUAL,0,0,1,10,27.48,0,RENT,36 months,Verified,On Time
22.0,INDIVIDUAL,0,0,1,25,32.31,0,RENT,36 months,Verified,On Time
45.0,INDIVIDUAL,0,1,4,22,31.01,0,OWN,36 months,Verified,On Time
83.0,INDIVIDUAL,0,0,0,12,23.71,0,OWN,36 months,Source Verified,On Time
40.0,INDIVIDUAL,0,0,3,5,12.36,1,MORTGAGE,36 months,Not Verified,On Time
23.0,INDIVIDUAL,0,0,0,14,31.47,0,RENT,36 months,Verified,On Time
43.0,INDIVIDUAL,0,0,0,7,37.37,0,RENT,36 months,Verified,On Time
51.2,INDIVIDUAL,0,0,0,9,24.6,1,RENT,36 months,Not Verified,On Time
65.0,INDIVIDUAL,0,0,3,14,7.22,0,MORTGAGE,36 months,Not Verified,On Time
105.0,INDIVIDUAL,0,1,0,25,25.26,0,MORTGAGE,36 months,Verified,On Time
18.3,INDIVIDUAL,0,0,2,21,27.21,0,RENT,36 months,Verified,On Time
125.0,INDIVIDUAL,1,1,2,13,11.83,0,MORTGAGE,60 months,Source Verified,On Time
65.0,INDIVIDUAL,0,0,1,2,5.76,0,RENT,60 months,Verified,On Time
110.0,INDIVIDUAL,0,0,0,10,5.61,0,RENT,36 months,Source Verified,On Time
56.0,INDIVIDUAL,0,0,0,5,10.11,0,RENT,36 months,Not Verified,On Time
70.994,INDIVIDUAL,0,0,2,12,8.4,0,RENT,36 months,Not Verified,On Time
88.0,INDIVIDUAL,0,0,0,7,12.91,0,MORTGAGE,36 months,Not Verified,On Time
96.0,INDIVIDUAL,0,0,3,7,6.18,0,MORTGAGE,36 months,Source Verified,Risky
68.0,INDIVIDUAL,0,0,0,9,22.94,0,MORTGAGE,60 months,Source Verified,On Time
183.0,INDIVIDUAL,0,0,0,15,18.55,0,RENT,60 months,Verified,On Time
130.8,INDIVIDUAL,0,0,0,17,15.33,0,MORTGAGE,60 months,Source Verified,On Time
100.0,INDIVIDUAL,0,0,0,7,15.36,0,RENT,36 months,Not Verified,On Time
25.0,INDIVIDUAL,0,1,0,5,7.35,0,OWN,36 months,Not Verified,On Time
71.0,INDIVIDUAL,0,0,0,16,21.55,0,MORTGAGE,36 months,Source Verified,On Time
55.0,INDIVIDUAL,0,0,0,13,16.56,0,MORTGAGE,36 months,Source Verified,Risky
102.0,INDIVIDUAL,0,0,2,21,26.86,0,RENT,36 months,Source Verified,On Time
65.0,INDIVIDUAL,0,0,0,8,22.43,0,RENT,60 months,Verified,Risky
42.0,INDIVIDUAL,0,0,0,20,30.87,0,MORTGAGE,36 months,Verified,On Time
50.0,INDIVIDUAL,0,0,0,6,18.4,0,RENT,60 months,Not Verified,On Time
49.0,INDIVIDUAL,0,0,0,7,25.45,1,RENT,36 months,Verified,On Time
80.0,INDIVIDUAL,0,0,1,16,29.06,0,MORTGAGE,36 months,Verified,On Time
